id,class_of_business_group_id,class_of_business,created_at,created_by,updated_at,updated_by,IsPL,IsGL,isBOP,is_active,row
148,8,Manufacturer Sales Representative,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,TRUE,147
149,5,Market Research,6/12/2018,V9.0.91,,V9.0.91,TRUE,FALSE,FALSE,TRUE,148
150,5,Marketing/Media Consulting Advertising,6/12/2018,V9.0.91,6/12/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,149
151,2,Marriage/Family  and Mental Health Therapy,6/12/2018,V9.0.91,,V9.0.91,TRUE,FALSE,FALSE,TRUE,150
152,8,Masonry Work,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,151
153,2,Massage Therapy,6/12/2018,V9.0.91,,V9.0.91,TRUE,FALSE,FALSE,TRUE,152
154,8,Mechanical Engineer,6/12/2018,V9.0.91,9/11/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,153
155,8,Media and Broadcast Consulting,6/12/2018,V9.0.91,9/11/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,154
156,8,Mediation Services,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,155
157,8,Mediator,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,156
158,2,Mental Health Counselor,6/12/2018,V9.0.91,6/13/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,157
159,8,Mobile Food Concessions,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,158
160,8,Mobile Food Services,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,159
161,8,Mobile Food Vending Services,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,160
162,8,Mobile Kitchen Operator,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,161
163,8,Mobile Street Food Vendor,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,162
164,8,Mortgage Brokering/Banking,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,163
165,8,Music Instructor,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,164
166,2,Music Therapy ,6/12/2018,V9.0.91,,V9.0.91,TRUE,FALSE,FALSE,TRUE,165
167,2,Nail Technician Services,6/12/2018,V9.0.91,6/13/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,166
168,8,Non Profit Organization,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,167
169,8,Notary Services,6/12/2018,V9.0.91,9/11/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,168
170,2,Occupational Therapy,6/12/2018,V9.0.91,,V9.0.91,TRUE,FALSE,FALSE,TRUE,169
171,8,Online Sales,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,170
172,3,Other Consulting  Services,6/12/2018,V9.0.91,6/12/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,171
173,5,Other Marketing/PR Services Direct Marketing,6/12/2018,V9.0.91,6/12/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,172
174,4,Other Technology Services,6/12/2018,V9.0.91,6/13/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,173
175,8,Painting (Interior only),6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,174
176,8,Paralegal Services,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,175
177,8,Party Plan Sales Representative,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,176
178,8,Payroll Services,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,177
180,8,Photography,6/12/2018,V9.0.91,9/11/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,178
181,8,Physical Therapists/Rehabilitation,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,179
182,8,Plastering or Stucco Work,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,180
183,8,Plumbing (Commercial or Industrial),6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,181
184,8,Plumbing (Residential or Domestic),6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,182
185,8,Pond Cleaner,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,183
186,1,Process Engineering,6/12/2018,V9.0.91,6/13/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,184
187,8,Process Server,6/12/2018,V9.0.91,9/11/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,185
188,3,Project Management,6/12/2018,V9.0.91,6/12/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,186
189,1,Project Manager (Architecture or Engineering),6/12/2018,V9.0.91,,V9.0.91,TRUE,FALSE,FALSE,TRUE,187
190,8,Property Inspector,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,188
191,6,Property Management,6/12/2018,V9.0.91,6/12/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,189
192,8,Property Preservation,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,190
193,8,Property Valuations & Consultancy,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,191
194,8,Prototype Creation,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,192
195,2,Psychology,6/12/2018,V9.0.91,6/13/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,193
196,8,Public Relations,6/12/2018,V9.0.91,9/11/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,194
197,8,Public Utilities Consulting,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,195
198,8,Quality Assurance Consultant,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,196
199,7,Real Estate Agents/Brokers,6/12/2018,V9.0.91,6/12/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,197
200,8,Real Estate Appraiser,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,198
201,8,Real Estate Title Abstracting,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,199
202,8,Recruiting (Employment Placements),6/12/2018,V9.0.91,9/11/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,200
203,8,Regulatory Consultant,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,201
204,8,Research Consulting,6/12/2018,V9.0.91,9/11/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,202
205,8,Restaurant/Bar,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,203
206,8,Resume Consulting,6/12/2018,V9.0.91,9/11/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,204
207,8,Retail Stores (no Food/Drink),6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,205
208,8,Retail Stores (with Food/Drink),6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,206
209,8,Risk Management Consulting,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,207
210,8,Safety Consulting,6/12/2018,V9.0.91,9/14/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,208
211,5,Search Engine Services (SEO/SEM),6/12/2018,V9.0.91,6/12/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,209
212,8,Security Consultancy,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,210
213,8,Sign Painting and Lettering (Exterior Only),6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,211
214,8,Sign Painting and Lettering (Interior Only),6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,212
215,8,Snack Truck Operator,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,213
216,5,Social Media Consultant,6/12/2018,V9.0.91,6/12/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,214
218,8,Software Consulting,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,215
219,4,Software Development,6/12/2018,V9.0.91,,V9.0.91,TRUE,FALSE,FALSE,TRUE,216
220,8,Solar Site Assessment and Design,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,217
221,2,Speech Therapy,6/12/2018,V9.0.91,,V9.0.91,TRUE,FALSE,FALSE,TRUE,218
222,8,Stock Brokering,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,219
223,3,Strategy Consultant,6/12/2018,V9.0.91,6/12/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,220
224,8,Structural Civil Engineer,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,221
225,2,Substance Abuse Counselor,6/12/2018,V9.0.91,6/13/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,222
226,8,Swimming Pool Cleaner,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,223
227,8,Taco Truck Operator,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,224
228,8,Talent Agency,6/12/2018,V9.0.91,9/11/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,225
229,8,Tax Preparation,6/12/2018,V9.0.91,9/11/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,226
